Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,168,10752000000,3191.95,1342.07,0.31,20048218.65,100%
prepare,write,168,10752000000,3130.59,1299.25,0.32,20441258.95,100%
prepare,write,168,10752000000,3128.73,1304.14,0.32,20453663.47,100%
prepare,write,168,10752000000,3165.57,1334.51,0.32,20215390.17,100%
prepare,write,168,10752000000,3053.78,1341.47,0.33,20954366.95,100%
prepare,write,168,10752000000,2681.96,1212.47,0.37,23858923.46,100%
prepare,write,168,10752000000,3145.96,1357.01,0.32,20341214.8,100%
prepare,write,168,10752000000,2672.81,1219.87,0.37,23940789.3,100%
prepare,write,168,10752000000,3172.96,1324.98,0.32,20168256.38,100%
prepare,write,168,10752000000,2718.87,1296.36,0.37,23535901.44,100%
prepare,write,168,10752000000,3147.96,1320.87,0.32,20328638.76,100%
prepare,write,168,10752000000,2910.72,1317.16,0.34,21984852.7,100%
prepare,write,168,10752000000,2639.53,1291.21,0.38,24243790.8,100%
prepare,write,168,10752000000,3108.58,1326.24,0.32,20586224.92,100%
prepare,write,168,10752000000,3146.64,1292.46,0.32,20337213.39,100%
prepare,write,168,10752000000,3144.08,1359.48,0.32,20353344.05,100%
prepare,write,168,10752000000,3127.31,1319.32,0.32,20462772.29,100%
prepare,write,168,10752000000,2653.01,1282.11,0.38,24119845.48,100%
prepare,write,168,10752000000,3159.14,1348.38,0.32,20256331.52,100%
prepare,write,168,10752000000,3151.72,1313.37,0.32,20304185.09,100%
prepare,write,168,10752000000,2910.76,1469.46,0.34,21983639.04,100%
prepare,write,168,10752000000,3057.82,1408.93,0.33,20927856.12,100%
prepare,write,168,10752000000,3153.6,1369.22,0.32,20291846.27,100%
prepare,write,168,10752000000,2890.98,1356.85,0.35,22133886.13,100%
prepare,write,168,10752000000,3169.26,1329.34,0.32,20191549.3,100%
prepare,write,168,10752000000,3130.64,1334.05,0.32,20441258.95,100%
