Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
09:37:39,3,192000000,3399,1369.33,0.59,37470771.63,100%,0,0,0
09:37:44,198,12672000000,3462.07,1423.37,28.39,1817151865.09,100%,1,1,1
09:37:49,210,13440000000,3001.95,1163.52,34.08,2180961413.61,100%,2,2,2
09:37:54,175,11200000000,3100.37,1428.05,27.49,1759515308.27,100%,3,3,3
09:37:59,48,3072000000,3167.77,1333.9,12.15,777474283.51,100%,4,4,4
09:38:04,194,12416000000,3562.13,1859.51,47.79,3058456444.79,100%,5,5,5
09:38:09,97,6208000000,5256.95,3421.38,17.26,1104563410.62,100%,6,6,6
09:38:14,83,5312000000,5286.73,3083.72,15.47,990234362.88,100%,7,7,7
09:38:19,95,6080000000,4369.15,2450.03,19.62,1255885168.79,100%,8,8,8
09:38:24,115,7360000000,5222.36,3299.57,22.58,1445102805.37,100%,9,9,9
09:38:29,69,4416000000,5129.46,2376.22,14.54,930422672.87,100%,10,10,10
09:38:34,157,10048000000,3769.9,1722.02,34.86,2231291859.54,100%,11,11,11
09:38:39,198,12672000000,3581.49,1779.63,33.5,2143796513.19,100%,12,12,12
09:38:44,67,4288000000,2976.55,1262.12,11.16,714324542.5,100%,13,13,13
09:38:49,197,12608000000,3166.05,1451.06,51.28,3282116224.16,100%,14,14,14
09:38:54,188,12032000000,2649.58,1010.72,31.33,2005175009.94,100%,15,15,15
09:38:59,142,9088000000,3167.36,1461.35,27.43,1755595364.54,100%,16,16,16
09:39:04,156,9984000000,3683.42,1871.98,30.4,1945453280.89,100%,17,17,17
09:39:09,132,8448000000,3262.32,1500.27,26.11,1670886435.49,100%,18,18,18
09:39:14,113,7232000000,3954.03,2156.53,24.48,1567000325.49,100%,19,19,19
09:39:19,132,8448000000,4776.82,2762.19,25.16,1610089176.85,100%,20,20,20
09:39:24,188,12032000000,2977.34,1161.73,35.38,2264005712.74,100%,21,21,21
09:39:29,98,6272000000,4014.33,2253.55,16.96,1085266253.64,100%,22,22,22
09:39:34,124,7936000000,4328.04,2155.61,25.71,1645286942.93,100%,23,23,23
09:39:39,122,7808000000,3531.78,1626.71,25.69,1644060266.81,100%,24,24,24
09:39:44,188,12032000000,3529.89,1779.49,37.14,2377245604.31,100%,25,25,25
09:39:49,130,8320000000,3217.07,1448.56,22.43,1435695599.32,100%,26,26,26
09:39:54,209,13376000000,2639.18,1018.67,45.97,2942385428.94,100%,27,27,27
09:39:59,131,8384000000,2534.56,962.44,24.75,1584196103.07,100%,28,28,28
09:40:04,171,10944000000,3309.3,1553.82,38.49,2463664346.23,100%,29,29,29
09:40:09,151,9664000000,3890.61,1952.72,26,1664188585.81,100%,30,30,30
09:40:14,128,8192000000,3218.8,1312.08,26.36,1686890577.9,100%,31,31,31
09:40:19,177,11328000000,2968.77,1325.6,38.63,2472004217.84,100%,32,32,32
09:40:24,134,8576000000,3951.88,2077.19,25.82,1652777008.18,100%,33,33,33
09:40:29,201,12864000000,3449.41,1683.97,34.17,2187179462.17,100%,34,34,34
09:40:34,55,3520000000,2747.93,1181.67,9.08,580937117.21,100%,35,35,35
09:40:39,204,13056000000,2897.87,1239.1,57.54,3682765288.4,100%,36,36,36
09:40:44,236,15104000000,2655.69,1042.25,40.18,2571409269.54,100%,37,37,37
09:40:49,185,11840000000,2706.19,1009.66,31.41,2009956800.12,100%,38,38,38
09:40:54,190,12160000000,2794.06,1113.46,35.78,2289775624.11,100%,39,39,39
09:40:59,106,6784000000,2419.61,973.12,23.92,1530780283.09,100%,40,40,40
09:41:04,193,12352000000,3433.91,1655.45,42.9,2745732634.18,100%,41,41,41
09:41:09,192,12288000000,2883.62,1144.19,33.04,2114518091.92,100%,42,42,42
09:41:14,201,12864000000,3025.85,1349.54,35.67,2282704608.85,100%,43,43,43
09:41:19,76,4864000000,2930.76,1232.08,13.95,892684086.55,100%,44,44,44
09:41:24,195,12480000000,3129.94,1472.18,50.36,3223352688.04,100%,45,45,45
09:41:29,168,10752000000,2906.2,1232.97,29.39,1881194792.7,100%,46,46,46
09:41:34,207,13248000000,3317.15,1605.54,36.24,2319622962.2,100%,47,47,47
09:41:39,68,4352000000,2784.43,1227.84,11.4,729358113.11,100%,48,48,48
09:41:44,203,12992000000,2958.27,1235.84,54.07,3460776017.89,100%,49,49,49
09:41:49,187,11968000000,2813.67,1156.02,32.5,2079778654.8,100%,50,50,50
09:41:54,196,12544000000,3071.96,1330.06,34.59,2213793608.45,100%,51,51,51
09:41:59,106,6784000000,2727.43,1152.93,20.37,1303717039.84,100%,52,52,52
09:42:04,204,13056000000,3077.46,1338.22,47.28,3026086434.43,100%,53,53,53
09:42:09,184,11776000000,2532.13,921.27,32.99,2111103044.8,100%,54,54,54
09:42:14,214,13696000000,3018.06,1361.72,40.78,2610081763.65,100%,55,55,55
09:42:19,99,6336000000,3146.1,1535.64,16.1,1030086967.4,100%,56,56,56
09:42:24,191,12224000000,2794.57,1144.3,48.07,3076548887.95,100%,57,57,57
09:42:29,191,12224000000,2658.96,1052.15,35.54,2274458742.86,100%,58,58,58
09:42:34,187,11968000000,3046.59,1327.17,35.86,2295029253.26,100%,59,59,59
09:42:39,210,13440000000,2753.88,1076.66,37.15,2377678684.95,100%,60,60,60
09:42:44,139,8896000000,2526.39,1013.81,25.21,1613422325.89,100%,61,61,61
09:42:49,165,10560000000,3155.43,1412.96,38.55,2466950272.76,100%,62,62,62
09:42:54,125,8000000000,3451.1,1845.9,24.9,1593595646.78,100%,63,63,63
09:42:59,136,8704000000,3676.63,1794.24,29.63,1896569975.74,100%,64,64,64
09:43:04,189,12096000000,2760.63,1129.81,39.43,2523758403.12,100%,65,65,65
09:43:09,201,12864000000,3220.15,1420.73,37.31,2387712483.67,100%,66,66,66
