Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,43,2752000000,1683.88,664.58,0.22,14037951.44,100%
write,write,37,2368000000,3341.11,1511.97,0.19,12079167.52,100%
read,read,36,2304000000,1817.72,732.67,0.18,11704224.49,100%
write,write,41,2624000000,3205.02,1454.12,0.21,13329811.23,100%
read,read,37,2368000000,1766.38,735.97,0.19,11940178.09,100%
write,write,41,2624000000,3242.76,1510.93,0.21,13231008.16,100%
read,read,57,3648000000,1715.16,706.23,0.29,18598865.1,100%
write,write,30,1920000000,3279,1494.2,0.15,9788876.37,100%
read,read,41,2624000000,1701.05,685.37,0.21,13330488.41,100%
write,write,38,2432000000,3344.53,1452.74,0.19,12355086.82,100%
read,read,40,2560000000,1813.92,776.7,0.2,12838258.01,100%
write,write,38,2432000000,3337.74,1473.24,0.19,12196345.11,100%
read,read,39,2496000000,1781.44,738.36,0.2,12586037.36,100%
write,write,38,2432000000,3390.11,1511.61,0.19,12263318.46,100%
read,read,22,1408000000,1701.27,674.91,0.11,7146301.23,100%
write,write,52,3328000000,3068.96,1461.85,0.26,16891257.45,100%
read,read,44,2816000000,1740.91,694.05,0.22,14202926.33,100%
write,write,36,2304000000,3379.36,1550.97,0.18,11620576.09,100%
read,read,42,2688000000,1853.17,743.74,0.21,13532153.97,100%
write,write,38,2432000000,3178.71,1540.21,0.19,12243377.4,100%
read,read,45,2880000000,1792.36,708.16,0.23,14691778.73,100%
write,write,35,2240000000,3296.11,1451.77,0.18,11426939.01,100%
read,read,48,3072000000,1788.5,736.71,0.25,15775446.38,100%
write,write,35,2240000000,3110.83,1492.71,0.18,11502929.65,100%
read,read,39,2496000000,1720.31,669.13,0.2,12574497.35,100%
write,write,38,2432000000,3457.74,1594.34,0.19,12252074.34,100%
read,read,40,2560000000,1786.95,641.5,0.2,12868201.47,100%
write,write,35,2240000000,3641.6,1673.03,0.18,11259676.28,100%
read,read,40,2560000000,1691.78,617.53,0.2,12958023.09,100%
write,write,38,2432000000,3418.03,1524.76,0.19,12310121.94,100%
read,read,38,2432000000,1768.55,690.11,0.19,12458314.34,100%
write,write,38,2432000000,3368.24,1484.95,0.19,12458314.34,100%
read,read,33,2112000000,1733.79,764.15,0.17,10648488.94,100%
write,write,44,2816000000,3207.25,1558.98,0.22,14197985.26,100%
read,read,39,2496000000,1730.62,693.21,0.2,12555458.3,100%
write,write,41,2624000000,3202.29,1566.76,0.21,13199327.96,100%
read,read,38,2432000000,1688.55,654.47,0.19,12228295.03,100%
write,write,41,2624000000,3285.66,1544.98,0.21,13193686.74,100%
read,read,39,2496000000,1813.18,686.05,0.2,12535595.37,100%
write,write,38,2432000000,3378.82,1610.76,0.19,12214169.84,100%
read,read,36,2304000000,1690.53,748,0.18,11619697,100%
write,write,43,2752000000,3195.84,1431.65,0.22,13879082.53,100%
read,read,45,2880000000,1685.8,675.4,0.23,14719937.85,100%
write,write,36,2304000000,3327.36,1520.69,0.18,11775950.28,100%
read,read,35,2240000000,1712.03,704.63,0.18,11292883.97,100%
write,write,41,2624000000,3376.39,1600.15,0.21,13228806.94,100%
read,read,37,2368000000,1706.27,710.32,0.19,11879797.32,100%
write,write,40,2560000000,3404.82,1603.82,0.2,12843024.13,100%
read,read,42,2688000000,1789.98,764.98,0.21,13462482.35,100%
write,write,38,2432000000,3275.76,1362.16,0.19,12180341.17,100%
read,read,41,2624000000,1685.63,682.17,0.21,13210358.85,100%
write,write,39,2496000000,3320.72,1539.03,0.2,12565951.11,100%
read,read,35,2240000000,1666.34,651.83,0.18,11298979.06,100%
write,write,42,2688000000,3331.36,1432.43,0.21,13558774.87,100%
read,read,34,2176000000,1813.12,727.21,0.17,11045853.49,100%
write,write,41,2624000000,3301.07,1492.78,0.21,13319999.8,100%
read,read,39,2496000000,1811.82,720.44,0.2,12523079.39,100%
write,write,38,2432000000,3385.39,1621.87,0.19,12201974.79,100%
read,read,35,2240000000,1645.74,623.74,0.18,11295902.21,100%
write,write,41,2624000000,3431.49,1429.32,0.21,13232342.59,100%
read,read,42,2688000000,1732.83,686.93,0.21,13542448.62,100%
write,write,38,2432000000,3308,1558.79,0.19,12252691.61,100%
read,read,42,2688000000,1794.5,705.69,0.21,13481185.02,100%
write,write,38,2432000000,3263.53,1499.58,0.19,12197262.64,100%
read,read,38,2432000000,1776.53,676.74,0.19,12243993.8,100%
write,write,40,2560000000,3277.88,1578.7,0.2,12888414.52,100%
read,read,32,2048000000,1720.09,701.41,0.16,10448979.59,100%
write,write,44,2816000000,3203.43,1470.48,0.22,14367346.94,100%
read,read,38,2432000000,1712.11,682.03,0.19,12275822.38,100%
write,write,41,2624000000,3245.02,1481.98,0.21,13244966.26,100%
read,read,26,1664000000,1861.38,713.96,0.13,8535215.46,100%
write,write,45,2880000000,3256.78,1462.42,0.23,14772488.29,100%
read,read,36,2304000000,1784.28,681.06,0.18,11759661.91,100%
write,write,38,2432000000,3465.26,1543.74,0.19,12412976.46,100%
read,read,50,3200000000,1763.78,714.12,0.25,16264046.8,100%
write,write,34,2176000000,3192.82,1384.53,0.17,11059551.82,100%
read,read,30,1920000000,1769.77,662.47,0.15,9644945.45,100%
write,write,44,2816000000,3317.48,1474.11,0.22,14145919.99,100%
read,read,38,2432000000,1734.92,686.24,0.19,12213556.45,100%
write,write,40,2560000000,3329.62,1493.03,0.2,12856375.21,100%
read,read,33,2112000000,1871.12,786.27,0.17,10595388.6,100%
write,write,42,2688000000,3275.62,1507.1,0.21,13485040.03,100%
read,read,53,3392000000,1693.57,651.75,0.27,17105482.13,100%
write,write,33,2112000000,3288.91,1512.09,0.17,10650583.21,100%
read,read,32,2048000000,1750.59,722.47,0.16,10298340.1,100%
write,write,44,2816000000,3246.39,1525.2,0.22,14160217.63,100%
read,read,37,2368000000,1817.95,801.43,0.19,12128475.8,100%
write,write,42,2688000000,3046.95,1398.36,0.22,13767459.01,100%
read,read,36,2304000000,1787.33,780.44,0.18,11706543.78,100%
write,write,40,2560000000,3311.57,1394.67,0.2,13007270.86,100%
read,read,41,2624000000,1781.78,750.39,0.21,13181226.8,100%
write,write,40,2560000000,3150.28,1483.03,0.2,12859733.46,100%
read,read,39,2496000000,1691.15,672.69,0.2,12523142.22,100%
write,write,41,2624000000,3252.37,1498.54,0.21,13165354.65,100%
read,read,44,2816000000,1741.86,735.02,0.22,14200347.95,100%
