Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,168,0,367.74,367.74,2.72,0,100%
cleanup,delete,168,0,428.32,428.32,2.33,0,100%
cleanup,delete,168,0,453.71,453.71,2.2,0,100%
cleanup,delete,168,0,359.91,359.91,2.78,0,100%
cleanup,delete,168,0,422.34,422.34,2.37,0,100%
cleanup,delete,168,0,413.05,413.05,2.42,0,100%
cleanup,delete,168,0,411.22,411.22,2.43,0,100%
cleanup,delete,168,0,463.31,463.31,2.16,0,100%
cleanup,delete,168,0,328.04,328.04,3.05,0,100%
cleanup,delete,168,0,427.29,427.29,2.34,0,100%
cleanup,delete,168,0,427.4,427.4,2.34,0,100%
cleanup,delete,168,0,423.24,423.24,2.36,0,100%
cleanup,delete,168,0,414.87,414.87,2.41,0,100%
cleanup,delete,168,0,383.04,383.04,2.61,0,100%
cleanup,delete,168,0,428.79,428.79,2.33,0,100%
cleanup,delete,168,0,416.56,416.56,2.4,0,100%
cleanup,delete,168,0,428.92,428.92,2.33,0,100%
cleanup,delete,168,0,426.98,426.98,2.34,0,100%
cleanup,delete,168,0,439.15,439.15,2.28,0,100%
cleanup,delete,168,0,427.49,427.49,2.34,0,100%
cleanup,delete,168,0,432.69,432.69,2.31,0,100%
cleanup,delete,168,0,427.83,427.83,2.34,0,100%
cleanup,delete,168,0,369.11,369.11,2.71,0,100%
cleanup,delete,168,0,428.72,428.72,2.33,0,100%
cleanup,delete,168,0,423.47,423.47,2.36,0,100%
cleanup,delete,168,0,433.55,433.55,2.31,0,100%
cleanup,delete,168,0,426.64,426.64,2.34,0,100%
cleanup,delete,168,0,429.67,429.67,2.33,0,100%
cleanup,delete,168,0,427.26,427.26,2.34,0,100%
cleanup,delete,168,0,422.33,422.33,2.37,0,100%
cleanup,delete,168,0,432.92,432.92,2.31,0,100%
cleanup,delete,168,0,347.34,347.34,2.88,0,100%
cleanup,delete,168,0,434.06,434.06,2.3,0,100%
cleanup,delete,168,0,413.4,413.4,2.42,0,100%
cleanup,delete,168,0,431.79,431.79,2.32,0,100%
cleanup,delete,168,0,433.62,433.62,2.31,0,100%
cleanup,delete,168,0,403.99,403.99,2.48,0,100%
cleanup,delete,168,0,418.75,418.75,2.39,0,100%
cleanup,delete,168,0,440.32,440.32,2.27,0,100%
cleanup,delete,168,0,409.01,409.01,2.44,0,100%
cleanup,delete,168,0,440.57,440.57,2.27,0,100%
cleanup,delete,168,0,304.54,304.54,3.28,0,100%
cleanup,delete,168,0,426.95,426.95,2.34,0,100%
cleanup,delete,168,0,432.9,432.9,2.31,0,100%
cleanup,delete,168,0,423.42,423.42,2.36,0,100%
cleanup,delete,168,0,438.98,438.98,2.28,0,100%
cleanup,delete,168,0,422.79,422.79,2.37,0,100%
cleanup,delete,168,0,432.44,432.44,2.31,0,100%
cleanup,delete,160,0,429.11,429.11,2.33,0,100%
cleanup,delete,160,0,464.64,464.64,2.15,0,100%
cleanup,delete,160,0,380.56,380.56,2.63,0,100%
cleanup,delete,160,0,453.21,453.21,2.21,0,100%
cleanup,delete,160,0,456.31,456.31,2.19,0,100%
cleanup,delete,160,0,361.65,361.65,2.77,0,100%
cleanup,delete,160,0,391.54,391.54,2.55,0,100%
cleanup,delete,160,0,448.07,448.07,2.23,0,100%
cleanup,delete,160,0,425.24,425.24,2.35,0,100%
cleanup,delete,160,0,443.96,443.96,2.25,0,100%
cleanup,delete,160,0,464.45,464.45,2.15,0,100%
cleanup,delete,160,0,450.54,450.54,2.22,0,100%
cleanup,delete,160,0,448.26,448.26,2.23,0,100%
cleanup,delete,160,0,378.93,378.93,2.64,0,100%
cleanup,delete,160,0,437.59,437.59,2.29,0,100%
cleanup,delete,160,0,428.16,428.16,2.34,0,100%
cleanup,delete,160,0,338.88,338.88,2.95,0,100%
cleanup,delete,160,0,344.44,344.44,2.9,0,100%
cleanup,delete,160,0,392.93,392.93,2.54,0,100%
cleanup,delete,160,0,468.82,468.82,2.13,0,100%
cleanup,delete,160,0,462.66,462.66,2.16,0,100%
cleanup,delete,160,0,386.33,386.33,2.59,0,100%
cleanup,delete,160,0,440.18,440.18,2.27,0,100%
cleanup,delete,160,0,315.86,315.86,3.17,0,100%
cleanup,delete,160,0,455.57,455.57,2.19,0,100%
cleanup,delete,160,0,345.07,345.07,2.9,0,100%
cleanup,delete,160,0,450.11,450.11,2.22,0,100%
cleanup,delete,160,0,439.7,439.7,2.27,0,100%
cleanup,delete,160,0,362.43,362.43,2.76,0,100%
cleanup,delete,160,0,423.01,423.01,2.36,0,100%
cleanup,delete,160,0,450.14,450.14,2.22,0,100%
cleanup,delete,160,0,447.66,447.66,2.23,0,100%
cleanup,delete,160,0,455.34,455.34,2.2,0,100%
cleanup,delete,160,0,337.69,337.69,2.96,0,100%
cleanup,delete,160,0,422.82,422.82,2.37,0,100%
cleanup,delete,160,0,472.45,472.45,2.12,0,100%
cleanup,delete,160,0,443.99,443.99,2.25,0,100%
cleanup,delete,160,0,420.56,420.56,2.38,0,100%
cleanup,delete,160,0,457.18,457.18,2.19,0,100%
cleanup,delete,160,0,419.22,419.22,2.39,0,100%
cleanup,delete,160,0,354.4,354.4,2.82,0,100%
cleanup,delete,160,0,379.28,379.28,2.64,0,100%
cleanup,delete,160,0,447.13,447.13,2.24,0,100%
cleanup,delete,160,0,456.24,456.24,2.19,0,100%
cleanup,delete,160,0,450.27,450.27,2.22,0,100%
cleanup,delete,160,0,447.02,447.02,2.24,0,100%
cleanup,delete,160,0,460.38,460.38,2.17,0,100%
cleanup,delete,160,0,373.26,373.26,2.68,0,100%
cleanup,delete,160,0,442.44,442.44,2.26,0,100%
cleanup,delete,160,0,444.35,444.35,2.25,0,100%
cleanup,delete,160,0,394.81,394.81,2.53,0,100%
cleanup,delete,160,0,447.55,447.55,2.23,0,100%
