Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
09:50:08,0,0,N/A,N/A,0,0,N/A,0,0,0
09:50:13,1387,0,429.79,429.79,233.52,0,100%,1,1,1
09:50:18,1299,0,413.73,413.73,242.53,0,100%,2,2,2
09:50:23,1261,0,459.32,459.32,222.34,0,100%,3,3,3
09:50:28,1375,0,397.34,397.34,251.77,0,100%,4,4,4
09:50:33,1203,0,429.19,429.19,220.25,0,100%,5,5,5
09:50:38,1042,0,507.67,507.67,195.09,0,100%,6,6,6
09:50:43,1167,0,428.74,428.74,231.56,0,100%,7,7,7
09:50:48,1131,0,396.6,396.6,230.92,0,100%,8,8,8
09:50:53,1266,0,436.65,436.65,263.18,0,100%,9,9,9
09:50:58,1033,0,403.66,403.66,215.88,0,100%,10,10,10
09:51:03,1112,0,396.58,396.58,244.25,0,100%,11,11,11
09:51:08,936,0,382.24,382.24,213.41,0,100%,12,12,12
09:51:13,755,0,505.91,505.91,191.75,0,100%,13,13,13
09:51:18,678,0,259.01,259.01,372.96,0,100%,14,14,14
09:51:23,21,0,310.1,310.1,7.24,0,100%,15,15,15
